Date,Close,Volume,VIX_Close,RSI_14,MACD,MACD_Signal,Next_Day_Return,Target_Up,PTT_Score,PTT_Volume,Yahoo_Score,Yahoo_Volume,News_Score,News_Volume,ADR_Ret,SOX_Ret,FX_Ret,Triple_Barrier_Signal
2021-04-07,556.2609252929688,24603109,17.15999984741211,50.72781391995549,-2.703055611571586,-4.068431802134827,0.0049181574405083,1,0.98,2.0,1.37,3.0,1.07,6.0,-0.0050262066977447,-0.0165462502261157,-0.0118985532284007,0
2021-04-08,558.9967041015625,23976625,16.950000762939453,51.20770791258692,-1.350875746906809,-3.5249205910892236,-0.0048940875474225,0,0.0,0.0,0.74,7.0,0.98,6.0,0.0015746808308207,-0.0208265479961832,0.0001101813387496,0
2021-04-09,556.2609252929688,27303862,16.690000534057617,52.99996586498463,-0.4943197379898265,-2.9188004204693443,-0.0081969290675141,0,0.46,3.0,0.83,3.0,1.34,2.0,-0.0028629884562738,0.0295270322170588,0.0106537503120465,0
2021-04-12,551.7012939453125,22606128,16.90999984741211,51.45627787319294,-0.1813268500419553,-2.3713057063838665,0.0,0,0.64,1.0,0.62,3.0,0.57,4.0,0.000716036134831,-0.0051039999677654,-0.0020386096365756,1
2021-04-13,551.7012939453125,25971622,16.649999618530273,57.60860154975144,0.0659619009148855,-1.883852184924116,0.0115705436198443,1,-0.61,2.0,-0.26,1.0,1.5,4.0,0.0045574892409234,-0.0154723629986013,-0.0109878953446967,1
2021-04-14,558.0847778320312,30077913,16.989999771118164,59.79382439192686,0.7681787320761941,-1.353446001524054,0.0114379787264642,1,1.13,2.0,0.17,4.0,0.63,8.0,-0.0037333170572916,0.0030603375400719,-0.0017279179267082,0
2021-04-15,564.4681396484375,33530942,16.56999969482422,62.13592359187832,1.8188084884876616,-0.718995103521711,-0.0145397300201572,0,0.73,1.0,0.61,9.0,1.5,6.0,0.0007078933127258,-0.0035457277210564,-0.0119347215980954,0
2021-04-16,556.2609252929688,48507383,16.25,68.08484277996885,1.9665177395021376,-0.1818925349169413,-0.0114754812465828,0,-0.3,2.0,0.43,2.0,1.33,3.0,-0.0028155405108772,-0.020605885087041,0.0178756510533382,0
2021-04-19,549.8775634765625,24231637,17.290000915527344,63.99990897371884,1.5506198540650755,0.164609942879462,-0.0016584169460663,0,0.0,0.0,0.55,6.0,0.74,3.0,-0.0031199556190403,0.0041402837244721,-0.0055787705808214,0
2021-04-20,548.9656372070312,34771635,18.68000030517578,56.97666364439394,1.1343567957792402,0.3585593134594177,-0.0166113850699997,0,0.85,1.0,0.29,6.0,0.39,6.0,0.0003433798790331,-0.0289464649878825,-0.0252314963523151,0
2021-04-21,539.8465576171875,38458220,17.5,45.976943404790575,0.06784968259592,0.3004173872867182,-0.0016890062302949,0,0.0,0.0,0.64,3.0,0.84,3.0,-0.0045301134614263,-0.003899479913717,-0.0156323142098312,1
2021-04-22,538.9347534179688,33868521,18.709999084472656,46.51164057647976,-0.8412425465605793,0.0720854005172586,0.0186124270618026,1,0.54,3.0,1.33,1.0,0.96,3.0,-0.0035909175026814,0.0213135096032368,0.0274938314294526,1
2021-04-23,548.9656372070312,27754511,17.329999923706055,58.62058619432208,-0.7437230215977024,-0.0910762839057335,0.0132891525288425,1,0.4,6.0,0.91,5.0,0.77,6.0,-0.0016413162244077,-0.0177169373785778,-0.0230976937017693,0
2021-04-26,556.2609252929688,30887664,17.639999389648438,55.0,-0.0768830561919458,-0.0882376383629759,0.0,0,-0.01,2.0,0.38,5.0,1.18,9.0,0.0037991549586497,0.0287894365800336,0.0203659744555328,0
2021-04-27,556.2609252929688,26317481,17.559999465942383,50.0,0.4464460683418565,0.0186991029779905,-0.0131148670600855,0,0.06,1.0,0.52,9.0,0.96,4.0,-0.0019333379059591,0.0242748618109025,0.0166657375468028,0
2021-04-28,548.9656372070312,24024054,17.280000686645508,42.857105604218226,0.2694137565674737,0.0688420336958871,-0.0033218989948359,0,1.05,1.0,0.51,5.0,1.28,3.0,-0.0079908328599322,-0.0020571685355734,-0.0075839785954624,0
