Date,News_Score,News_Volume
2022-11-17,0.91,3
2022-11-18,0.67,2
2022-11-19,1.86,1
2022-11-20,0.8,2
2022-11-21,0.62,3
2022-11-22,0.93,12
2022-11-23,0.97,3
2022-11-25,1.7,1
2022-11-27,1.65,1
2022-11-28,1.09,5
2022-11-29,1.24,8
2022-11-30,0.75,6
2022-12-01,1.06,3
2023-09-07,0.1,1
2023-10-26,0.86,2
2024-04-18,-0.19,1
2024-11-14,-0.89,1
2025-12-05,1.65,1
2022-12-01,1.14,4
2022-12-02,0.56,2
2022-12-04,0.74,1
2022-12-05,-0.54,1
2022-12-06,1.38,3
2022-12-07,1.33,5
2022-12-08,1.32,4
2022-12-10,1.26,2
2022-12-12,0.88,5
2022-12-13,0.29,2
2022-12-14,-0.53,2
2022-12-15,1.4,4
2022-12-16,0.79,5
2022-12-17,1.45,4
2022-12-18,1.41,1
2022-12-19,1.32,3
2022-12-20,0.63,9
2022-12-21,0.85,4
2022-12-22,0.79,2
2022-12-23,1.02,3
2022-12-25,1.45,1
2022-12-26,0.35,4
2022-12-27,1.14,7
2022-12-28,-0.23,3
2022-12-29,0.92,9
2022-12-30,1.11,5
2022-12-31,2.22,1
2024-10-24,-0.1,1
2026-01-22,0.91,1
2026-03-19,0.14,2
2022-12-31,0.64,1
2023-01-02,-0.01,2
2023-01-03,1.52,3
2023-01-04,0.95,8
2023-01-05,1.31,5
2023-01-06,1.2,3
2023-01-07,0.79,1
2023-01-08,1.18,2
2023-01-09,1.08,5
2023-01-10,0.82,4
2023-01-11,0.97,7
2023-01-12,0.71,5
2023-01-13,0.88,7
2023-01-14,1.6,2
2023-01-15,1.12,2
2023-01-16,1.07,7
2023-01-17,0.94,3
2023-01-18,1.54,3
2023-01-19,0.43,5
2023-01-20,0.89,2
2023-01-25,0.26,2
2023-01-27,1.44,1
2023-01-28,1.3,2
2023-01-30,1.16,5
2023-01-31,0.5,5
2023-02-01,1.17,5
2023-02-08,0.92,1
2026-03-13,0.62,1
2026-03-17,0.94,1
2023-02-01,1.01,4
2023-02-02,1.08,2
2023-02-03,1.12,5
2023-02-04,0.92,5
2023-02-05,1.42,1
2023-02-06,1.02,2
2023-02-07,-0.1,5
2023-02-08,1.17,4
2023-02-09,0.9,6
2023-02-10,0.62,2
2023-02-11,1.48,2
2023-02-12,1.38,3
2023-02-13,0.82,2
2023-02-14,1.33,5
2023-02-15,1.34,3
2023-02-16,0.91,7
2023-02-17,0.79,3
2023-02-18,-0.01,1
2023-02-19,1.12,1
2023-02-20,0.55,3
2023-02-21,0.94,3
2023-02-22,1.4,6
2023-02-23,1.02,6
2023-02-24,0.64,5
2023-02-25,1.14,3
2023-02-27,1.32,2
2023-03-01,0.79,5
2023-04-28,-0.48,1
2024-12-22,-0.05,1
2025-03-27,0.58,1
2026-01-09,-0.82,1
2023-03-01,0.62,4
2023-03-02,0.89,1
2023-03-03,1.71,3
2023-03-04,0.62,3
2023-03-06,1.1,2
2023-03-07,1.89,1
2023-03-08,1.13,3
2023-03-09,1.18,3
2023-03-10,-0.13,3
2023-03-11,0.83,1
2023-03-13,0.62,2
2023-03-14,1.15,4
2023-03-15,0.17,3
2023-03-16,1.14,6
2023-03-17,0.64,3
2023-03-18,1.48,1
2023-03-20,0.8,8
2023-03-21,0.56,4
2023-03-22,1.56,2
2023-03-23,1.41,2
2023-03-24,1.14,8
2023-03-25,1.45,5
2023-03-26,0.27,2
2023-03-27,1.53,1
2023-03-28,1.05,8
2023-03-29,1.05,5
2023-03-30,1.62,2
2023-03-31,1.08,4
2023-04-01,1.49,4
2024-12-17,0.14,1
2025-01-17,-0.6,1
2023-04-01,1.49,4
2023-04-02,0.53,1
2023-04-03,0.68,1
2023-04-06,0.96,7
2023-04-07,1.23,3
2023-04-08,0.95,2
2023-04-09,0.95,1
2023-04-10,0.77,5
2023-04-11,1.27,3
2023-04-12,1.27,5
2023-04-13,1.09,8
2023-04-14,0.17,2
2023-04-15,-0.64,1
2023-04-16,1.6,2
2023-04-17,1.38,7
2023-04-18,0.86,3
2023-04-19,1.31,3
2023-04-20,1.2,5
2023-04-21,0.79,5
2023-04-22,0.39,1
2023-04-23,1.02,2
2023-04-24,1.75,3
2023-04-25,0.89,4
2023-04-26,0.96,4
2023-04-27,0.7,5
2023-04-28,1.08,6
2023-04-29,0.96,2
2023-04-30,0.57,2
2023-05-01,1.3,2
2025-01-01,0.29,1
2019-08-20,0.22,1
2023-05-01,1.3,2
2023-05-02,1.32,2
2023-05-03,0.74,4
2023-05-04,1.09,1
2023-05-05,0.31,3
2023-05-07,0.43,2
2023-05-08,-0.73,1
2023-05-09,0.31,6
